OFFENCE_CODE,OFFENCE_DESC,OFFENCE_FINYEAR,OFFENCE_MONTH,FACE_VALUE
82981,Class C motor vehicle exceed speed limit - over 10 km/h - Lidar,2016-2017,01/09/2016,455
74712,Exceed speed limit 10 km/h and under - Camera Detected - School Zone,2014-2015,01/11/2014,436
33162,Motor vehicle exceed speed limit - 10 km/h and under - Camera recorded - Corporation,2014-2015,01/06/2015,1635
74722,Exceed speed limit 10 km/h and under - Camera Detected - School Zone,2012-2013,01/09/2012,417
83005,Learner exceed 90 km/h - over 10 km/h,2017-2018,01/07/2017,269
74488,P2 driver exceed 100 km/h - over 45 km/h - Radar,2011-2012,01/01/2012,1915
74468,P1 driver exceed 90 km/h - over 45 km/h - Radar,2014-2015,01/09/2014,2252
83093,Motor vehicle exceed speed limit - over 45 km/h - Camera recorded - Individual,2014-2015,01/02/2015,2252
83074,Class C motor vehicle exceed speed limit - 10 km/h and under - Radar,2015-2016,01/05/2016,335
74496,Pass school bus at more than 40 km/h - Class A motor vehicle - over 20 km/h - Radar,2012-2013,01/02/2013,417
24702,Exceed speed limit 10 km/h and under - Camera Detected - School Zone,2012-2013,01/04/2013,865
33052,Motor vehicle exceed speed limit - over 10 km/h - School Zone - Camera recorded - Corporation,2014-2015,01/12/2014,1635
74400,Class C motor vehicle exceed speed limit - over 20 km/h - Radar,2013-2014,01/12/2013,531
82958,Class C motor vehicle exceed speed limit - over 10 km/h,2016-2017,01/08/2016,455
24704,Exceed speed limit over 10 km/h - Camera Detected - School Zone,2013-2014,01/03/2014,1595
74723,Exceed speed limit over 10 km/h - Camera Detected,2013-2014,01/06/2014,425
74711,Exceed speed limit 10 km/h and under - Camera Detected,2012-2013,01/08/2012,313
83057,Motor vehicle exceed speed limit - over 20 km/h - Camera recorded - Individual,2014-2015,01/04/2015,545
74467,P1 driver exceed 90 km/h - over 45 km/h - Lidar,2012-2013,01/08/2012,2154
82996,Pass bus - Class A motor vehicle exceed speed limit - over 20 km/h - Lidar,2016-2017,01/11/2016,455
74724,Exceed speed limit over 10 km/h - Camera Detected - School Zone,2013-2014,01/11/2013,531
74472,P2 driver exceed 100 km/h - 10 km/h and under - Radar,2014-2015,01/10/2014,109
74713,Exceed speed limit over 10 km/h - Camera Detected,2012-2013,01/09/2012,417
74708,Exceed speed limit over 30 km/h - Camera Detected - School Zone,2013-2014,01/10/2013,1028
